net,sta,loc,ch,lat,lon,wZ,wN,wE
IA,AAI,,SH,-3.6871,128.1943,-1.0,-1.0,-1.0
IA,AAII,00,SH,-3.6871,128.194,-1.0,-1.0,-1.0
IA,ABJI,,SH,-7.7957,114.2342,1.0,1.0,1.0
IA,ABSM,00,SH,-3.4254,102.26295,1.0,0.6,0.5
IA,ACBM,,SH,-7.029754,107.682833,1.0,0.7,0.7
IA,ACJM,00,SH,-6.80323,108.615124,0.6,0.6,0.5
IA,ALKI,,SH,-8.1445,124.5903,-1.0,1.0,1.0
IA,ALTI,00,SH,-8.29069,125.12517,1.0,0.9,0.9
IA,AMPM,,SH,-1.2674,132.491,1.0,1.0,1.0
IA,AMPM,,BH,-1.2674,132.491,-1.0,-1.0,-1.0
IA,ANAPI,,SH,-1.323,133.912,1.0,1.0,1.0
IA,APSI,,SH,-0.9108,121.6487,1.0,1.0,1.0
IA,APSSI,,SH,-3.932,102.465,1.0,1.0,1.0
IA,ARKPI,,SH,-2.783,140.592,1.0,1.0,1.0
IA,ARMI,00,SH,-5.7749,134.2189,0.3,1.0,1.0
IA,ARPI,00,SH,-2.89961,140.74765,1.0,1.0,1.0
IA,ARSKI,,SH,-6.85843,115.28619,1.0,1.0,1.0
IA,ASTTI,,SH,-10.068,124.299,1.0,1.0,1.0
IA,ATKTI,,SH,-9.425,124.09,1.0,1.0,1.0
IA,ATNI,,SH,-9.0835,124.8644,1.0,1.0,1.0
IA,BAJI,,SH,-7.09057,112.70853,1.0,1.0,1.0
IA,BAJI,,BH,-7.09057,112.70853,-1.0,-1.0,-1.0
IA,BAKI,00,HH,-1.19145,136.10702,-1.0,-1.0,-1.0
IA,BAKI,01,HH,-1.19145,136.10702,-1.0,-1.0,-1.0
IA,BAPJI,,SH,-7.912,111.305,1.0,1.0,1.0
IA,BASAI,,SH,2.307,97.407,1.0,0.9,0.9
IA,BASI,00,SH,-10.2189,120.5777,-1.0,-1.0,-1.0
IA,BASI,0K,BH,-10.2189,120.5777,-1.0,-1.0,-1.0
IA,BATI,,SH,-10.2065,123.6633,-1.0,-1.0,-1.0
IA,BATPI,,SH,-2.5427,133.4455,0.9,0.9,0.9
IA,BBBCM,,SH,-5.5771,120.448,1.0,1.0,1.0
IA,BBBCM,,BH,-5.5771,120.448,-1.0,-1.0,-1.0
IA,BBCI,00,SH,1.158027,121.436232,-1.0,-1.0,-1.0
IA,BBCM,00,SH,-5.0392,120.058,-1.0,-1.0,-1.0
IA,BBJI,,SH,-7.462603,107.65,1.0,1.0,1.0
IA,BBJI,,BH,-7.462603,107.65,-1.0,-1.0,-1.0
IA,BBJM,00,SH,-7.326,111.8099,1.0,0.9,1.0
IA,BBKI,,SH,-3.4625,114.8411,1.0,0.5,0.9
IA,BBKI,,BH,-3.4625,114.8411,-1.0,-1.0,-1.0
IA,BBLSI,,SH,-1.637539,123.52168,1.0,1.0,1.0
IA,BBSI,,SH,-5.4885,122.56,1.0,1.0,1.0
IA,BDBI,,SH,-8.52,115.2088,1.0,0.9,0.9
IA,BDCM,00,SH,-0.872636,119.586757,1.0,-1.0,1.0
IA,BDMUI,,SH,1.322,126.362,1.0,0.9,0.8
IA,BESI,00,SH,4.719933,96.86546,0.3,0.3,0.3
IA,BESM,00,SH,4.151615,96.325344,1.0,1.0,1.0
IA,BGASI,,SH,3.983,97.315,1.0,1.0,1.0
IA,BGCI,00,SH,-0.8816,123.3911,1.0,0.8,1.0
IA,BGCM,00,SH,-0.049644,119.880075,1.0,1.0,1.0
IA,BHCM,00,SH,-2.7965,122.1259,1.0,1.0,1.0
IA,BKASI,,SH,-0.202,100.318,1.0,0.8,0.7
IA,BKB,,SH,-1.1073,116.9048,1.0,1.0,1.0
IA,BKB,,BH,-1.1073,116.9048,-1.0,-1.0,-1.0
IA,BKJI,,SH,-7.3633,108.5322,1.0,0.9,0.9
IA,BKNI,,SH,0.3262,101.0396,1.0,1.0,1.0
IA,BKSI,,SH,-5.3219,120.1224,1.0,1.0,1.0
IA,BLCM,00,SH,-0.122934,119.687071,1.0,1.0,1.0
IA,BLJI,,SH,-7.745,113.595,1.0,1.0,0.9
IA,BLSI,,SH,-5.3676,105.2452,-1.0,-1.0,-1.0
IA,BLSI,,BH,-5.3676,105.2452,-1.0,-1.0,-1.0
IA,BLSM,00,SH,-3.140218,102.8072,0.0,0.0,0.1
IA,BMBNG,,SH,-6.66347,110.8839,1.0,1.0,1.0
IA,BMBNG,,BH,-6.66347,110.8839,-1.0,-1.0,-1.0
IA,BMSI,,SH,-2.06641,102.31544,1.0,0.4,0.3
IA,BMSI,,BH,-2.06641,102.31544,-1.0,-1.0,-1.0
IA,BNDI,,SH,-4.5224,129.9045,1.0,1.0,1.0
IA,BNDI,,BH,-4.5224,129.9045,-1.0,-1.0,-1.0
IA,BNSI,,SH,-4.4006,120.1065,-1.0,-1.0,-1.0
IA,BNSI,1J,HH,-4.4006,120.1065,-1.0,-1.0,-1.0
IA,BNTI,00,SH,-8.7881,120.9768,1.0,0.9,1.0
IA,BOJI,,SH,-7.56815,110.68936,1.0,1.0,0.9
IA,BOJI,,BH,-7.56815,110.68936,-1.0,-1.0,-1.0
IA,BOSM,00,SH,-4.859183,104.020736,0.3,0.3,0.3
IA,BPMJM,,SH,-6.9505233,113.4922383,1.0,1.0,1.0
IA,BPMJM,,BH,-6.9505233,113.4922383,-1.0,-1.0,-1.0
IA,BPSM,00,SH,-1.1924,100.58998,0.3,-1.0,-1.0
IA,BSI,00,HH,5.4964,95.2961,1.0,0.5,0.5
IA,BSI,01,HH,5.4964,95.2961,1.0,0.5,0.5
IA,BSMI,,SH,-3.1075,130.4939,0.8,0.8,0.9
IA,BSSI,,SH,-6.1428,120.4904,1.0,1.0,1.0
IA,BTCM,00,SH,-2.4768,121.9241,0.4,0.4,0.4
IA,BTJI,,SH,-7.1972,109.1641,1.0,0.9,0.8
IA,BTSPI,,SH,-2.3779,139.7042,-1.0,-1.0,-1.0
IA,BUBSI,,SH,-0.855,122.207,1.0,1.0,1.0
IA,BUJI,,SH,-7.75603,109.46133,-1.0,-1.0,-1.0
IA,BUJI,,BH,-7.75603,109.46133,-1.0,-1.0,-1.0
IA,BUKI,,SH,1.25,118.07,-1.0,-1.0,-1.0
IA,BUMSI,,SH,-1.977807,121.334629,1.0,0.9,0.9
IA,BUSI,00,SH,5.2445125,96.243038,1.0,1.0,0.9
IA,BWJI,,SH,-5.8511,112.6578,1.0,1.0,1.0
IA,BYJI,,SH,-8.214,114.3557,-1.0,-1.0,-1.0
IA,BYLI,00,SH,-8.2273,116.4201,1.0,1.0,0.9
IA,CASI,00,HH,4.62879,95.57668,0.3,0.4,0.4
IA,CASI,01,HH,4.62879,95.57668,0.3,0.4,0.4
IA,CBJI,,SH,-6.6981,106.9349,-1.0,1.0,-1.0
IA,CBJM,00,SH,-6.93085,107.35624,-1.0,-1.0,-1.0
IA,CCJM,00,SH,-7.01692,107.14019,1.0,0.9,0.9
IA,CGJI,,SH,-6.6134,105.69,1.0,1.0,0.3
IA,CIJI,,SH,-7.31741,108.19589,1.0,0.9,0.9
IA,CIJM,00,SH,-6.492453,108.185243,0.6,0.6,0.6
IA,CIKJI,00,SH,-6.041924,107.347374,1.0,0.3,0.3
IA,CILJI,,SH,-6.822,106.316,1.0,0.9,0.8
IA,CMJI,,SH,-7.784,108.449,0.2,0.2,0.8
IA,CNJI,,SH,-7.309,107.1296,1.0,0.9,0.9
IA,CSBJI,00,SH,-6.404687,107.881737,1.0,1.0,1.0
IA,CSJI,,SH,-7.3302,106.521,1.0,0.9,0.9
IA,CSJI,,BH,-7.3302,106.521,-1.0,-1.0,-1.0
IA,CSJM,00,SH,-6.74052,108.0099,1.0,1.0,0.9
IA,CTJI,,SH,-7.00754,109.18356,1.0,0.9,1.0
IA,CWJM,00,SH,-6.74236,107.44486,1.0,-1.0,1.0
IA,DBJI,,SH,-6.5538,106.7497,-1.0,-1.0,-1.0
IA,DBKI,00,SH,-1.6792,114.9079,-1.0,1.0,1.0
IA,DBNFM,,SH,-8.424084,118.594821,1.0,1.0,1.0
IA,DBNFM,,BH,-8.424084,118.594821,-1.0,-1.0,-1.0
IA,DBNI,,SH,-8.50188,118.31213,1.0,1.0,1.0
IA,DBNI,,BH,-8.50188,118.31213,-1.0,-1.0,-1.0
IA,DDSI,00,SH,1.6675,101.4602,0.1,0.5,0.5
IA,DNP,,SH,-8.6774,115.2097,-1.0,-1.0,-1.0
