net,sta,loc,ch,lat,lon,wZ,wN,wE
IA,MBBI,,BH,-1.5406,102.0984,-1.0,-1.0,-1.0
IA,MBJI,00,HH,-7.44892,109.63243,0.4,0.4,0.4
IA,MBJI,01,HH,-7.44892,109.63243,0.4,0.4,0.4
IA,MBPI,00,SH,-2.035,133.7322,0.3,0.3,0.3
IA,MBRPI,,SH,-1.771,130.407,1.0,1.0,1.0
IA,MBSM,00,SH,-3.1451,101.8374,1.0,1.0,1.0
IA,MDSI,,SH,-4.4861,104.1783,1.0,1.0,1.0
IA,MGAI,,SH,4.0079,126.67,1.0,1.0,1.0
IA,MIBPI,,SH,-5.879,140.709,1.0,1.0,1.0
IA,MIPI,00,SH,-4.5301,136.8935,1.0,1.0,1.0
IA,MISSI,,SH,5.552612,126.58147,1.0,0.6,0.5
IA,MKBI,,SH,-2.4474,101.2396,1.0,1.0,1.0
IA,MKJM,00,SH,-7.6629,110.4834,1.0,1.0,1.0
IA,MKS,,SH,-5.2178,119.4696,0.1,0.8,0.7
IA,MKS,,BH,-5.2178,119.4696,-1.0,-1.0,-1.0
IA,MKSM,00,SH,-4.5288,103.36,1.0,1.0,1.0
IA,MLJI,,SH,-8.157473,112.446699,1.0,1.0,1.0
IA,MLJM,00,SH,-7.2483,112.3379,0.3,0.3,0.3
IA,MLMMI,,SH,-8.148,127.792,1.0,1.0,1.0
IA,MLSI,,SH,4.2668,96.404,0.9,1.0,0.9
IA,MLSI,,BH,4.2668,96.404,-1.0,-1.0,-1.0
IA,MMCI,00,SH,-2.95597,119.3631,1.0,1.0,1.0
IA,MMPI,,SH,-8.5181,140.4141,1.0,1.0,1.0
IA,MMPI,,BH,-8.5181,140.4141,-1.0,-1.0,-1.0
IA,MMRI,,SH,-8.6357,122.2376,1.0,1.0,1.0
IA,MMRI,,BH,-8.6357,122.2376,-1.0,-1.0,-1.0
IA,MMSI,00,SH,-2.6892,118.909,0.8,1.0,1.0
IA,MNAI,,SH,-4.3605,102.9557,1.0,0.7,0.7
IA,MNAI,,BH,-4.3605,102.9557,-1.0,-1.0,-1.0
IA,MNI,00,HH,1.44397,124.83998,0.4,0.4,0.4
IA,MNI,01,HH,1.44397,124.83998,0.4,0.4,0.4
IA,MNSI,,SH,0.7955,99.5796,0.8,0.8,0.3
IA,MNSI,1J,HH,0.7955,99.5796,-1.0,-1.0,-1.0
IA,MPSI,,SH,0.3374,119.898,1.0,1.0,0.8
IA,MPSM,00,SH,0.5891,100.1383,1.0,1.0,1.0
IA,MRSI,,SH,0.4771,121.9406,0.2,0.2,0.2
IA,MSAI,00,SH,-3.346145,128.928482,-1.0,-1.0,-1.0
IA,MSCM,00,SH,-2.5358,120.2813,0.3,0.3,-1.0
IA,MSHHI,,SH,0.629,128.425,-1.0,-1.0,-1.0
IA,MTAI,,SH,2.19802,128.27585,1.0,1.0,1.0
IA,MTCM,00,SH,-2.573883,121.054464,0.3,0.3,0.3
IA,MTJPI,,SH,-2.627,140.864,1.0,1.0,1.0
IA,MTKI,,SH,-0.9418,114.8959,1.0,1.0,1.0
IA,MTMPI,,SH,-2.305,138.037,1.0,0.8,0.9
IA,MTMTI,,SH,-9.58,124.88,1.0,1.0,1.0
IA,MTSI,00,SH,2.1524,98.2524,0.3,0.3,-1.0
IA,MTSM,00,SH,-4.4793,103.5062,0.3,0.3,0.3
IA,MUMUI,,SH,-1.785,125.481,1.0,1.0,1.0
IA,MUTSI,,SH,2.3,98.965,0.8,0.7,0.8
IA,MWPI,00,SH,-0.9258,134.0431,1.0,1.0,1.0
IA,NANFI,,SH,-8.761,121.302,1.0,1.0,1.0
IA,NBMI,00,SH,-3.8509,126.6995,1.0,0.8,0.9
IA,NBPI,,SH,-3.3656,135.4972,-1.0,-1.0,-1.0
IA,NGJI,,SH,-7.3676,111.4612,0.3,0.9,0.9
IA,NJBM,,SH,-8.30984,114.617125,1.0,1.0,1.0
IA,NJBM,,BH,-8.30984,114.617125,-1.0,-1.0,-1.0
IA,NKBI,,SH,-8.726115,115.5259633,1.0,1.0,1.0
IA,NKBI,,BH,-8.726115,115.5259633,-1.0,-1.0,-1.0
IA,NKKI,00,SH,-1.5605,110.5671,1.0,1.0,1.0
IA,NLAI,,SH,-3.239,127.0998,1.0,1.0,1.0
IA,NLAI,,BH,-3.239,127.0998,-1.0,-1.0,-1.0
IA,NSBMM,,SH,-3.0828917,128.2096033,1.0,1.0,1.0
IA,NSBMM,,BH,-3.0828917,128.2096033,-1.0,-1.0,-1.0
IA,OBMI,,SH,-1.3413,127.6444,1.0,1.0,1.0
IA,OBMPI,,SH,-6.555,139.3,1.0,0.9,0.9
IA,OMBFM,,SH,-8.6911917,119.8248167,1.0,0.7,0.5
IA,OMBFM,,BH,-8.6911917,119.8248167,-1.0,-1.0,-1.0
IA,ONSM,00,SH,2.1599,98.6301,-1.0,-1.0,-1.0
IA,PAASI,,SH,5.671,95.129,1.0,1.0,1.0
IA,PABI,00,SH,0.1236,99.8719,1.0,0.6,0.4
IA,PABKI,00,SH,-3.112172,115.36422,1.0,0.5,0.7
IA,PAFM,,SH,-8.3832,124.128,1.0,0.4,0.3
IA,PAFM,,BH,-8.3832,124.128,-1.0,-1.0,-1.0
IA,PAKI,,SH,-1.84,116.18,0.3,1.0,0.2
IA,PASJI,,SH,-6.212,105.9835,1.0,1.0,1.0
IA,PASMI,,SH,-2.9646,100.2028,1.0,1.0,1.0
IA,PBCI,00,SH,0.38301,124.0396,-1.0,-1.0,-1.0
IA,PBJI,,SH,-7.0874,107.4757,1.0,1.0,1.0
IA,PBJI,,BH,-7.0874,107.4757,-1.0,-1.0,-1.0
IA,PBKI,,SH,-2.7047,111.6697,0.3,1.0,1.0
IA,PBLI,00,SH,-8.8218,116.2778,1.0,0.7,0.9
IA,PBMMI,,SH,-7.86,129.597,-1.0,-1.0,-1.0
IA,PBMSI,,SH,0.995298,124.282277,1.0,0.7,0.8
IA,PBNI,,SH,-8.79,118.57,-1.0,-1.0,-1.0
IA,PBSI,,SH,-0.0547,98.28,1.0,1.0,1.0
IA,PCI,00,HH,-0.9054,119.8366,0.4,0.4,0.4
IA,PCI,01,HH,-0.9054,119.8366,0.4,0.4,0.4
IA,PCJI,,SH,-8.1947,111.1771,1.0,1.0,1.0
IA,PCJM,00,SH,-6.912934,108.719107,1.0,0.8,0.6
IA,PDLI,00,SH,-8.1037,117.8729,0.3,0.2,0.2
IA,PDSI,,SH,-0.9118,100.4617,1.0,0.3,0.3
IA,PGJM,,SH,-8.0102,110.414,1.0,1.0,0.9
IA,PGJM,,BH,-8.0102,110.414,-1.0,-1.0,-1.0
IA,PICM,00,SH,-0.710997,120.088757,1.0,1.0,1.0
IA,PKCI,00,SH,-4.3507,122.3436,1.0,1.0,1.0
IA,PKJI,,SH,-7.1678,109.5798,1.0,1.0,1.0
IA,PKJM,00,SH,-6.79577,108.43985,1.0,0.9,0.9
IA,PKKI,,SH,-2.2411,113.9722,-1.0,-1.0,-1.0
IA,PKKI,,BH,-2.2411,113.9722,-1.0,-1.0,-1.0
IA,PKSI,,SH,-4.0428,103.2639,1.0,1.0,1.0
IA,PKSI,,BH,-4.0428,103.2639,-1.0,-1.0,-1.0
IA,PLAI,,SH,-8.8274543,117.7764528,1.0,1.0,1.0
IA,PLAI,,BH,-8.8274543,117.7764528,-1.0,-1.0,-1.0
IA,PLJI,,SH,-7.8616,112.1548,1.0,0.9,0.9
IA,PLJI,,BH,-7.8616,112.1548,-1.0,-1.0,-1.0
IA,PLSI,,SH,0.23729,100.55398,1.0,1.0,1.0
IA,PLSI,,BH,0.23729,100.55398,-1.0,-1.0,-1.0
IA,PLSM,00,SH,1.54,99.6462,0.3,0.3,0.3
IA,PMBI,,SH,-2.9024,104.6993,1.0,1.0,0.8
IA,PMBI,,BH,-2.9024,104.6993,-1.0,-1.0,-1.0
IA,PMCI,00,SH,-1.17288,119.3477,1.0,1.0,1.0
IA,PMMI,00,SH,0.3738,127.4158,1.0,1.0,1.0
IA,PMSI,,SH,-3.5008,118.9149,1.0,0.8,0.8
IA,POBSI,,SH,-4.73985,122.00214,1.0,1.0,1.0
IA,POCI,00,SH,-1.420317,120.656954,1.0,1.0,0.9
IA,POKJI,,SH,-8.053,112.812,1.0,1.0,0.4
IA,PPBI,,SH,-2.1616,106.1364,1.0,0.9,1.0
IA,PPBI,,BH,-2.1616,106.1364,-1.0,-1.0,-1.0
IA,PPCM,00,SH,-3.727,119.7269,-1.0,-1.0,-1.0
IA,PPI,00,SH,-0.455476,100.397217,1.0,1.0,1.0
IA,PPJI,00,HH,-7.70444,112.6352777,0.4,0.4,0.4
IA,PPJI,01,HH,-7.70444,112.6352777,0.4,0.4,0.4
IA,PPLI,,SH,-5.74103,105.14486,1.0,1.0,0.9
IA,PPLI,,BH,-5.74103,105.14486,-1.0,-1.0,-1.0
IA,PPSI,,SH,-2.766,100.01,1.0,1.0,1.0
IA,PPSM,00,SH,-5.3182,104.0156,-1.0,-1.0,0.7
IA,PRJI,,SH,-8.07216,110.79178,-1.0,-1.0,-1.0
IA,PRJI,,BH,-8.07216,110.79178,-1.0,-1.0,-1.0
IA,PRLJI,,SH,-8.232273,113.114018,1.0,1.0,1.0
IA,PRSI,,SH,0.37,102.17,1.0,1.0,1.0
IA,PSI,,SH,2.695,98.924,-1.0,-1.0,-1.0
IA,PSI,,BH,2.695,98.924,-1.0,-1.0,-1.0
IA,PSJCM,,SH,-7.06,120.620245,1.0,1.0,0.9
IA,PSJCM,,BH,-7.06,120.620245,-1.0,-1.0,-1.0
IA,PSJM,00,SH,-6.96858,106.54906,1.0,1.0,1.0
IA,PSLI,,SH,-5.93732,105.51004,1.0,0.9,1.0
IA,PSSI,,SH,2.73532,125.4045,-1.0,-1.0,-1.0
IA,PSSM,00,SH,-5.86438,104.69528,0.3,0.3,0.3
IA,PTJI,,SH,-6.2655167,106.748825,0.9,0.8,0.7
IA,PTJI,,BH,-6.2655167,106.748825,-1.0,-1.0,-1.0
IA,PTSM,00,SH,2.011856,99.166011,1.0,1.0,1.0
IA,PUPSI,,SH,-1.733,120.676,1.0,1.0,1.0
IA,PWCM,,SH,-3.6739,120.4005,0.3,0.3,0.3
IA,PWCM,,BH,-3.6739,120.4005,-1.0,-1.0,-1.0
IA,PWJI,,SH,-8.021887,111.804112,1.0,1.0,1.0
IA,RAPI,,SH,-0.4102,130.8211,0.1,1.0,1.0
IA,RAPI,,BH,-0.4102,130.8211,-1.0,-1.0,-1.0
IA,RASM,00,SH,-2.1655,101.0708,-1.0,1.0,-1.0
IA,RDCM,00,SH,-1.295483,119.552463,0.3,0.3,0.3
IA,RGRI,,SH,-0.3491,102.3338,-1.0,-1.0,-1.0
IA,RHRSI,,SH,1.44,100.51,1.0,0.9,0.3
IA,RKCM,,SH,-2.9402467,121.5806317,1.0,0.8,0.7
IA,RKCM,,BH,-2.9402467,121.5806317,-1.0,-1.0,-1.0
IA,RKPI,,SH,-1.5107,134.1773,1.0,0.3,0.3
IA,RLSI,00,SH,2.0687,99.8455,1.0,0.6,-1.0
IA,RMSM,00,SH,-2.62326,102.7617,1.0,0.9,0.9
IA,RNFM,,SH,-8.429345,121.0261133,1.0,1.0,1.0
IA,RNFM,,BH,-8.429345,121.0261133,-1.0,-1.0,-1.0
IA,RONI,00,BH,-10.76,123.07,-1.0,-1.0,-1.0
IA,ROTTI,,SH,-10.806,123.013,1.0,0.9,0.9
IA,RRHRI,,SH,0.571374,100.427397,0.8,0.8,0.8
IA,RRSI,00,SH,0.84096,100.34611,0.9,0.5,0.3
IA,RSNI,,SH,-8.91,117.56,1.0,0.9,0.5
IA,RSSM,00,SH,2.597922,98.782984,0.3,0.3,0.3
IA,RTBI,,SH,-8.4597,114.942,0.2,1.0,1.0
IA,SAASI,,SH,5.562,95.525,1.0,1.0,1.0
IA,SADLY,,SH,-6.5737854,106.074132,1.0,0.8,0.9
IA,SAKJI,,SH,-7.686,110.155,1.0,1.0,0.8
IA,SAMKI,00,SH,-0.189252,110.36367,1.0,0.5,0.9
IA,SANI,,SH,-2.049695,125.988104,-1.0,-1.0,-1.0
IA,SANI,,BH,-2.049695,125.988104,-1.0,-1.0,-1.0
IA,SAPSI,,SH,-1.0,120.464,1.0,1.0,1.0
IA,SASI,00,HH,0.12411,99.87537,1.0,0.6,0.5
IA,SASM,00,SH,4.8795,95.4825,1.0,1.0,1.0
IA,SATPI,,SH,-1.972,138.87,1.0,0.7,0.9
IA,SAUI,,SH,-7.9826,131.2988,1.0,0.9,0.9
IA,SBBM,,SH,-8.2031,114.9179,1.0,0.9,1.0
IA,SBBM,,BH,-8.2031,114.9179,-1.0,-1.0,-1.0
IA,SBJI,00,SH,-6.1117,106.1318,0.8,1.0,1.0
IA,SBJM,00,SH,-7.967995,110.266119,-1.0,-1.0,-1.0
IA,SBNI,,SH,-10.492279,121.846004,1.0,1.0,1.0
IA,SBSI,,SH,1.3988,99.431,0.5,0.2,0.2
IA,SBSI,,BH,1.3988,99.431,-1.0,-1.0,-1.0
IA,SBSM,00,SH,0.1983,99.3775,0.3,0.3,0.3
IA,SBSSI,,SH,-1.206,119.889,1.0,1.0,1.0
IA,SCJI,,SH,-7.681,109.16892,0.3,0.8,0.8
IA,SCJM,00,SH,-6.8437,107.2221,1.0,0.9,1.0
IA,SDCI,00,SH,-0.494155,119.768722,-1.0,-1.0,0.8
IA,SDSI,,SH,-0.9325,101.428,0.7,0.8,0.7
IA,SDSM,00,SH,2.75379,98.28677,1.0,1.0,1.0
IA,SEJI,,SH,-7.0051,111.7288,1.0,0.9,0.8
IA,SEJM,00,SH,-6.8726,108.5852,-1.0,-1.0,-1.0
IA,SEMI,00,SH,-2.917032,129.820841,1.0,0.9,0.9
IA,SGKI,,SH,0.530205,117.604347,1.0,1.0,1.0
IA,SGSI,00,SH,3.686,125.5286,1.0,1.0,1.0
IA,SICJI,,SH,-7.472,108.808,1.0,1.0,1.0
IA,SIJI,,SH,-0.86912,131.26605,-1.0,-1.0,-1.0
IA,SIJI,,BH,-0.86912,131.26605,-1.0,-1.0,-1.0
IA,SIJM,00,SH,-7.41011,112.760504,0.9,0.7,0.5
IA,SIRSI,,SH,0.86,101.66,0.3,0.3,0.3
IA,SISI,,SH,-1.3265,99.0895,1.0,1.0,1.0
IA,SISI,,BH,-1.3265,99.0895,-1.0,-1.0,-1.0
IA,SISM,00,SH,4.6082,96.7288,0.5,0.4,0.5
IA,SISMI,,SH,-1.7806,99.14018,1.0,1.0,1.0
IA,SIUMI,,SH,-1.126,98.98,1.0,0.4,0.4
IA,SJPM,,SH,-2.5698,140.502,1.0,1.0,1.0
IA,SJPM,,BH,-2.5698,140.502,-1.0,-1.0,-1.0
IA,SKJI,,SH,-7.0053,106.5563,1.0,1.0,1.0
IA,SKPM,,SH,-3.4485,140.7256,1.0,0.4,0.4
IA,SKPM,,BH,-3.4485,140.7256,-1.0,-1.0,-1.0
IA,SKSI,00,SH,5.894472,95.31271,0.7,1.0,0.7
IA,SKSM,00,SH,-1.946,101.3497,1.0,0.9,0.9
IA,SLBFM,,SH,-8.796215,115.934067,1.0,1.0,1.0
IA,SLBFM,,BH,-8.796215,115.934067,-1.0,-1.0,-1.0
IA,SLSI,,SH,-2.3924,102.5927,0.8,0.8,0.8
IA,SLSM,00,SH,-0.83132,100.65342,1.0,0.6,0.6
IA,SMKI,,SH,-0.4461,117.2085,1.0,1.0,0.9
IA,SMPI,,SH,-1.981115,138.710799,-1.0,-1.0,-1.0
IA,SMRI,,SH,-7.04915,110.44067,1.0,1.0,1.0
IA,SMRI,,BH,-7.04915,110.44067,-1.0,-1.0,-1.0
IA,SMSI,,SH,0.9885,122.3654,0.6,1.0,1.0
IA,SMSM,00,SH,-0.005923,100.17103,-1.0,-1.0,1.0
IA,SNBI,00,SH,0.963245,97.429538,1.0,0.4,0.7
IA,SNJI,00,HH,-7.7808,111.7591,1.0,1.0,1.0
IA,SNJI,01,HH,-7.7808,111.7591,1.0,1.0,1.0
IA,SNSI,,SH,2.4089,96.3267,0.3,0.4,0.2
IA,SOEI,,SH,-9.7553,124.2672,1.0,1.0,0.9
IA,SOEI,,BH,-9.7553,124.2672,-1.0,-1.0,-1.0
IA,SOMPI,,SH,-8.431,141.007,1.0,1.0,1.0
IA,SPSI,,SH,-3.9646,119.7691,1.0,1.0,-1.0
IA,SPSJM,,SH,-6.6669333,107.6136017,1.0,1.0,1.0
IA,SPSJM,,BH,-6.6669333,107.6136017,-1.0,-1.0,-1.0
IA,SPSM,00,SH,2.51596,98.37383,0.3,0.3,0.3
IA,SRBI,,SH,-8.0848,115.2126,0.6,0.7,0.7
IA,SRMI,00,SH,-2.941451,129.18185,0.3,0.5,0.5
IA,SRPI,,SH,-1.876922,136.240169,-1.0,-1.0,-1.0
IA,SRSI,,SH,-2.531554,120.877791,1.0,1.0,1.0
IA,SSASI,,SH,2.83,95.925,0.9,0.9,1.0
IA,SSJM,00,SH,-6.8872,106.9626,1.0,1.0,1.0
IA,SSKI,,SH,0.817173,108.970255,-1.0,-1.0,-1.0
IA,SSMI,00,SH,-3.736706,130.828774,-1.0,0.4,-1.0
IA,SSSI,00,HH,2.67492,97.97077,0.4,0.4,0.4
IA,SSSI,01,HH,2.67492,97.97077,0.4,0.4,0.4
IA,SSSM,00,SH,-1.56407,101.23747,0.9,0.9,1.0
IA,STKI,,SH,0.0656,111.4772,1.0,0.4,0.5
IA,STKI,,BH,0.0656,111.4772,-1.0,-1.0,-1.0
IA,STPI,00,SH,-0.46835,132.1256,-1.0,-1.0,-1.0
IA,STSI,,SH,-2.38874,101.04783,1.0,1.0,1.0
IA,SUPJI,,SH,-6.796,105.515,1.0,1.0,1.0
IA,SUSM,00,SH,-5.0212,104.2945,1.0,1.0,1.0
IA,SUSPI,,SH,-0.732,135.734,0.3,0.3,0.3
IA,SWCM,00,SH,-4.2145,120.0109,1.0,0.9,0.8
IA,SWI,,SH,-0.8628,131.2592,1.0,0.3,0.9
IA,SWJI,,SH,-7.7349,111.7669,0.6,0.3,1.0
IA,SWPM,,SH,-0.8035,133.594,-1.0,-1.0,-1.0
IA,SWPM,,BH,-0.8035,133.594,-1.0,-1.0,-1.0
IA,SYJI,,SH,-7.7483,110.4914,1.0,1.0,1.0
IA,TAGJI,,SH,-8.077,110.585,1.0,1.0,1.0
IA,TAMI,00,SH,-3.675906,128.110803,-1.0,-1.0,-1.0
IA,TAPSI,,SH,-3.332,119.249,1.0,0.8,1.0
IA,TARAI,00,HH,3.32712,117.57037,0.3,0.4,0.4
IA,TARAI,01,HH,3.32712,117.57037,0.3,0.4,0.4
IA,TASI,00,SH,-0.3241,100.0791,1.0,0.8,0.7
IA,TASSI,,SH,2.347,125.386,1.0,0.9,0.8
IA,TBCM,00,SH,-4.9117704,120.28299,1.0,1.0,1.0
IA,TBJI,,SH,-6.8179,111.8481,1.0,1.0,1.0
IA,TBJKI,00,SH,-1.847503,115.624908,1.0,1.0,0.9
IA,TBKI,00,SH,2.136,117.4241,1.0,1.0,1.0
IA,TBMCM,,SH,0.7139,124.59,1.0,1.0,1.0
IA,TBMCM,,BH,0.7139,124.59,-1.0,-1.0,-1.0
IA,TBMUI,,SH,-1.9,124.344,1.0,0.8,0.9
IA,TDNI,,SH,0.574382,97.819617,1.0,1.0,1.0
IA,TEBBI,00,SH,-8.151183,115.373344,1.0,1.0,1.0
IA,TGCM,00,SH,0.5201,123.0778,1.0,1.0,1.0
IA,TIKSI,,SH,-3.977,121.866,1.0,1.0,1.0
IA,TIPSI,,SH,0.489,120.419,1.0,1.0,1.0
IA,TKSM,00,SH,3.1374,98.3244,0.3,0.3,0.3
IA,TLCM,00,SH,-2.50925,120.79436,0.3,0.3,-1.0
IA,TLE2,00,HH,-5.69943,132.73952,1.0,0.9,0.9
IA,TLE2,01,HH,-5.69943,132.73952,1.0,0.9,0.9
IA,TMSI,,SH,1.294812,124.925571,1.0,1.0,1.0
IA,TMSM,00,SH,-2.69954,101.44633,-1.0,-1.0,-1.0
IA,TMTMM,,SH,-3.2979,129.53,0.9,0.8,0.6
IA,TMTMM,,BH,-3.2979,129.53,-1.0,-1.0,-1.0
IA,TNG,,SH,-6.1719,106.6469,-1.0,-1.0,-1.0
IA,TNG,,BH,-6.1719,106.6469,-1.0,-1.0,-1.0
IA,TNGI,00,BH,-6.172,106.647,-1.0,-1.0,-1.0
IA,TNTI,,SH,0.7718,127.3667,1.0,1.0,1.0
IA,TNTI,,BH,0.7718,127.3667,-1.0,-1.0,-1.0
IA,TOBSI,,SH,-1.446,122.25,1.0,1.0,1.0
IA,TOCM,00,SH,-2.647398,121.408032,0.3,0.3,0.3
IA,TOJI,,SH,-6.7621,108.1344,0.4,0.3,0.2
IA,TOJI,,BH,-6.7621,108.1344,-1.0,-1.0,-1.0
IA,TOLI2,,SH,1.11119,120.78174,1.0,1.0,1.0
IA,TOLI2,,BH,1.11119,120.78174,-1.0,-1.0,-1.0
IA,TOTSI,,SH,-1.15292,121.28416,1.0,1.0,1.0
IA,TPCI,00,SH,0.467467,121.099286,1.0,0.9,0.9
IA,TPI,00,HH,-2.75633,107.65345,0.4,0.4,0.4
IA,TPI,01,HH,-2.75633,107.65345,0.4,0.4,0.4
IA,TPRI,,SH,0.9193,104.5208,-1.0,-1.0,-1.0
IA,TPSI,00,SH,4.923159,96.017023,1.0,1.0,1.0
IA,TPTI,00,BH,3.2618,97.1774,-1.0,-1.0,-1.0
IA,TRIYO,,SH,-2.0601,99.583,1.0,0.9,0.9
IA,TRIYO,,BH,-2.0601,99.583,-1.0,-1.0,-1.0
IA,TRPI,,SH,-6.0989,140.3,0.6,0.5,0.6
IA,TRSI,,SH,2.0256,98.9594,0.8,0.8,0.7
IA,TRSI,,BH,2.0256,98.9594,-1.0,-1.0,-1.0
IA,TSI,,SH,3.5012,98.5645,0.9,0.9,0.3
IA,TSI,00,HH,3.5012,98.5645,-1.0,-1.0,-1.0
IA,TSI,0K,HH,3.5012,98.5645,-1.0,-1.0,-1.0
IA,TSJM,00,SH,-6.7319,107.8109,1.0,0.6,0.5
IA,TSNI,,SH,-8.71,118.28,1.0,0.8,0.5
IA,TSPI,00,SH,-1.4733,132.0898,0.3,0.3,0.3
IA,TTPSI,,SH,-4.818388,119.761719,1.0,1.0,1.0
IA,TTSI,,SH,-3.0451,119.819,-1.0,-1.0,-1.0
IA,TTSM,00,SH,1.0856,99.4108,0.3,0.3,0.3
IA,TTSMI,,SH,-2.864,128.727,1.0,1.0,1.0
IA,TUJI,,SH,-8.4018,113.7322,0.2,1.0,1.0
IA,TUJI,,BH,-8.4018,113.7322,-1.0,-1.0,-1.0
IA,TWSI,,SH,-8.7381,116.8821,0.9,0.7,0.8
IA,TWSI,,BH,-8.7381,116.8821,-1.0,-1.0,-1.0
IA,UBSI,,SH,-3.7611,102.2714,0.8,0.7,0.7
IA,UBSI,,BH,-3.7611,102.2714,-1.0,-1.0,-1.0
IA,UGM,,SH,-7.9125,110.5231,1.0,1.0,1.0
IA,UKCM,,SH,-3.857,122.0431,-1.0,-1.0,-1.0
IA,UKCM,,BH,-3.857,122.0431,-1.0,-1.0,-1.0
IA,ULMSI,00,SH,-3.052255,118.874557,1.0,0.9,0.9
IA,ULSM,00,SH,-3.7588,102.7941,-1.0,-1.0,-1.0
IA,UMKSI,,SH,-3.59,102.548,1.0,1.0,0.9
IA,UMSSI,,SH,-9.897,120.661,1.0,1.0,1.0
IA,USFM,,SH,-8.41198,117.14111,1.0,1.0,1.0
IA,USFM,,BH,-8.41198,117.14111,-1.0,-1.0,-1.0
IA,USTI,00,SH,-9.6543,119.7878,1.0,1.0,1.0
IA,UTSI,,SH,-5.31257,104.55095,-1.0,-1.0,-1.0
IA,UTSM,00,SH,-4.08339,102.72849,0.0,0.5,0.0
IA,UTUSI,,SH,-0.427364,121.860561,1.0,1.0,1.0
IA,UWJI,,SH,-6.4191,110.9474,1.0,0.7,0.7
IA,UWNPI,,SH,-3.479,135.587,1.0,1.0,1.0
IA,WAMI,00,HH,-4.09593,138.95004,0.4,0.4,0.2
IA,WAMI,01,HH,-4.09593,138.95004,0.4,0.4,0.2
IA,WANPI,,SH,-3.421,135.376,0.9,0.9,1.0
IA,WBMI,00,SH,0.3393,127.8708,1.0,1.0,1.0
IA,WBNI,,SH,-8.3026,118.8872,1.0,1.0,1.0
IA,WBSI,,SH,-9.6411,119.3911,-1.0,-1.0,-1.0
IA,WEFM,,SH,-8.6069517,121.7178533,1.0,0.7,1.0
IA,WEFM,,BH,-8.6069517,121.7178533,-1.0,-1.0,-1.0
IA,WFTFM,,SH,-8.5247,122.71,1.0,0.9,1.0
IA,WFTFM,,BH,-8.5247,122.71,-1.0,-1.0,-1.0
IA,WGJM,00,SH,-7.3833,112.5098,0.9,0.7,0.7
IA,WHMI,00,SH,1.0825,128.132,0.3,0.3,0.3
IA,WKCM,,SH,-3.8259,121.2993,1.0,1.0,1.0
IA,WKCM,,BH,-3.8259,121.2993,-1.0,-1.0,-1.0
IA,WLFM,,SH,-8.5311,123.4499,1.0,1.0,1.0
IA,WLFM,,BH,-8.5311,123.4499,-1.0,-1.0,-1.0
IA,WLJI,,SH,-6.8310983,105.8909467,1.0,0.9,1.0
IA,WLJI,,BH,-6.8310983,105.8909467,-1.0,-1.0,-1.0
IA,WLPU,,HH,-6.3823,107.3603,-1.0,-1.0,-1.0
IA,WLTFM,,SH,-8.51818,116.5407,1.0,1.0,1.0
IA,WLTFM,,BH,-8.51818,116.5407,-1.0,-1.0,-1.0
IA,WMCM,00,SH,-2.2162,121.622,0.3,-1.0,0.3
IA,WOJI,,SH,-7.8372,110.9236,1.0,0.9,0.9
IA,WRJI,,SH,-7.81129,113.74565,1.0,1.0,1.0
IA,WRJI,,BH,-7.81129,113.74565,-1.0,-1.0,-1.0
IA,WSHHI,,SH,0.764,127.813,1.0,1.0,1.0
IA,WSI,00,HH,-9.6689,120.297666,0.4,0.4,0.4
IA,WSI,01,HH,-9.6689,120.297666,0.4,0.4,0.4
IA,WSJM,00,SH,-6.97472,106.7247,1.0,1.0,1.0
IA,WSTMM,,SH,-3.45296,129.995,1.0,1.0,1.0
IA,WSTMM,,BH,-3.45296,129.995,-1.0,-1.0,-1.0
IA,WTKSI,,SH,-4.03,123.22,1.0,1.0,1.0
IA,WUPCM,,SH,-3.0063,120.1927,1.0,1.0,1.0
IA,WUPCM,,BH,-3.0063,120.1927,-1.0,-1.0,-1.0
IA,WWCI,00,SH,-5.2724,123.5251,1.0,-1.0,1.0
IA,WWPI,00,SH,-2.313,136.3773,-1.0,-1.0,-1.0
IA,YBYPI,,SH,-1.831,136.063,1.0,0.9,0.9
IA,YOGI,,SH,-7.8166,110.295,-1.0,1.0,-1.0
IC,ENH,00,BH,30.2762,109.4944,-1.0,-1.0,-1.0
IC,ENH,60,BH,30.2762,109.4944,-1.0,-1.0,-1.0
IC,LSA,00,BH,29.7031,91.127,-1.0,-1.0,-1.0
IC,LSA,10,BH,29.7031,91.127,-1.0,-1.0,-1.0
IC,QIZ,00,BH,19.0291,109.8445,-1.0,-1.0,-1.0
II,AAK,00,BH,42.637501,74.494202,-1.0,-1.0,-1.0
II,ABPO,00,BH,-19.018,47.229,-1.0,-1.0,-1.0
II,COCO,00,BH,-12.1901,96.8349,-1.0,-1.0,-1.0
II,DGAR,10,BH,-7.4121,72.452499,-1.0,-1.0,-1.0
II,FFC,10,BH,54.724998,-101.978302,0.3,-1.0,-1.0
II,JTS,00,BH,10.2908,-84.9525,1.0,-1.0,-1.0
II,KAPI,00,BH,-5.0142,119.751701,0.3,-1.0,-1.0
II,KDAK,00,BH,57.7828,-152.5835,1.0,-1.0,-1.0
II,KURK,00,BH,50.715401,78.620201,-1.0,-1.0,-1.0
